City	Population Density (Persons/Square Mile)	2016 Population	Land Area (Square Miles)
Tamarac, Florida	5,611	65,199	12
Shawnee, Kansas	1,558	65,194	42
Rogers, Arkansas	1,714	65,021	38
Schenectady, New York	6,022	64,913	11
East Orange, New Jersey	16,528	64,789	4
Lodi, California	4,750	64,641	14
Buckeye, Arizona	172	64,629	375
West Des Moines, Iowa	1,673	64,560	39
Santa Cruz, California	5,060	64,465	13
Madera, California	4,081	64,444	16
Youngstown, Ohio	1,894	64,312	34
North Port, Florida	645	64,274	100
Skokie, Illinois	6,389	64,270	10
Lake Elsinore, California	1,773	64,205	36
Janesville, Wisconsin	1,895	64,159	34
Cheyenne, Wyoming	2,611	64,019	25
Eden Prairie, Minnesota	1,970	63,914	32
Wellington, Florida	1,423	63,900	45
Jupiter, Florida	2,972	63,813	21
Sammamish, Washington	3,500	63,773	18
Lorain, Ohio	2,692	63,730	24
Pico Rivera, California	7,667	63,635	8
Montebello, California	7,603	63,335	8
Encinitas, California	3,356	63,131	19
Auburn, Alabama	1,087	63,118	58
Waltham, Massachusetts	4,949	63,002	13
Blaine, Minnesota	1,858	62,892	34
Haverhill, Massachusetts	1,907	62,873	33
Rocklin, California	3,213	62,787	20
Tulare, California	2,999	62,779	21
Council Bluffs, Iowa	1,526	62,524	41
Redmond, Washington	3,836	62,458	16
Coon Rapids, Minnesota	2,758	62,359	23
North Miami, Florida	7,389	62,139	8
Hamilton, Ohio	2,876	62,127	22
Rowlett, Texas	3,117	61,999	20
San Marcos, Texas	2,051	61,980	30
Lakeville, Minnesota	1,718	61,938	36
Springfield, Oregon	3,932	61,893	16
Grand Junction, Colorado	1,619	61,881	38
La Habra, California	8,367	61,664	7
Moore, Oklahoma	2,815	61,415	22
Burnsville, Minnesota	2,460	61,290	25
Taylor, Michigan	2,592	61,177	24
Eastvale, California	5,359	61,151	11
National City, California	8,399	61,147	7
Lehi, Utah	2,321	61,130	26
Port Orange, Florida	2,292	61,105	27
Monterey Park, California	7,963	61,075	8
Marietta, Georgia	2,640	60,941	23
Terre Haute, Indiana	1,762	60,852	35
Malden, Massachusetts	12,071	60,840	5
Lakewood, Washington	3,533	60,665	17
Utica, New York	3,619	60,652	17
Cupertino, California	5,386	60,643	11
Brentwood, California	4,093	60,532	15
Petaluma, California	4,209	60,530	14
Vineland, New Jersey	885	60,525	68
Taylorsville, Utah	5,570	60,436	11
Idaho Falls, Idaho	2,694	60,211	22
Noblesville, Indiana	1,918	60,183	31
Bristol, Connecticut	2,277	60,147	26
West Allis, Wisconsin	5,280	60,087	11
Gardena, California	10,300	60,048	6
La Mesa, California	6,602	59,948	9
St. Clair Shores, Michigan	5,144	59,775	12
Pontiac, Michigan	2,989	59,698	20
Meriden, Connecticut	2,506	59,622	24
Dublin, California	3,996	59,583	15
Coconut Creek, Florida	5,013	59,405	12
Casper, Wyoming	2,205	59,324	27
Owensboro, Kentucky	3,105	59,273	19
Ocala, Florida	1,322	59,253	45
Chapel Hill, North Carolina	2,805	59,246	21
Pflugerville, Texas	2,654	59,245	22
